itemname,key,delay,value_type,description,application,discovery_rule,template,units
Com Replace,MySQL.Com-replace,300,0,MySQL Com Replace,MySQL,,Percona MySQL Server Template,
Com Replace Select,MySQL.Com-replace-select,300,0,MySQL Com Replace Select,MySQL,,Percona MySQL Server Template,
Com Select,MySQL.Com-select,300,0,MySQL Com Select,MySQL,,Percona MySQL Server Template,
Com Update,MySQL.Com-update,300,0,MySQL Com Update,MySQL,,Percona MySQL Server Template,
Com Update Multi,MySQL.Com-update-multi,300,0,MySQL Com Update Multi,MySQL,,Percona MySQL Server Template,
Connections,MySQL.Connections,300,0,MySQL Connections,MySQL,,Percona MySQL Server Template,
Created Tmp Disk Tables,MySQL.Created-tmp-disk-tables,300,0,MySQL Created Tmp Disk Tables,MySQL,,Percona MySQL Server Template,
Created Tmp Files,MySQL.Created-tmp-files,300,0,MySQL Created Tmp Files,MySQL,,Percona MySQL Server Template,
Created Tmp Tables,MySQL.Created-tmp-tables,300,0,MySQL Created Tmp Tables,MySQL,,Percona MySQL Server Template,
Current Transactions,MySQL.current-transactions,300,0,MySQL Current Transactions,MySQL,,Percona MySQL Server Template,
Database Pages,MySQL.database-pages,300,0,MySQL Database Pages,MySQL,,Percona MySQL Server Template,B
Dictionary Cache Memory,MySQL.dictionary-cache-memory,300,0,MySQL Dictionary Cache Memory,MySQL,,Percona MySQL Server Template,B
File Fsyncs,MySQL.file-fsyncs,300,0,MySQL File Fsyncs,MySQL,,Percona MySQL Server Template,
File Reads,MySQL.file-reads,300,0,MySQL File Reads,MySQL,,Percona MySQL Server Template,
File System Memory,MySQL.file-system-memory,300,0,MySQL File System Memory,MySQL,,Percona MySQL Server Template,B
File Writes,MySQL.file-writes,300,0,MySQL File Writes,MySQL,,Percona MySQL Server Template,
Free Pages,MySQL.free-pages,300,0,MySQL Free Pages,MySQL,,Percona MySQL Server Template,B
Handler Commit,MySQL.Handler-commit,300,0,MySQL Handler Commit,MySQL,,Percona MySQL Server Template,
Handler Delete,MySQL.Handler-delete,300,0,MySQL Handler Delete,MySQL,,Percona MySQL Server Template,
Handler Read First,MySQL.Handler-read-first,300,0,MySQL Handler Read First,MySQL,,Percona MySQL Server Template,
Handler Read Key,MySQL.Handler-read-key,300,0,MySQL Handler Read Key,MySQL,,Percona MySQL Server Template,
Handler Read Next,MySQL.Handler-read-next,300,0,MySQL Handler Read Next,MySQL,,Percona MySQL Server Template,
Handler Read Prev,MySQL.Handler-read-prev,300,0,MySQL Handler Read Prev,MySQL,,Percona MySQL Server Template,
Handler Read Rnd,MySQL.Handler-read-rnd,300,0,MySQL Handler Read Rnd,MySQL,,Percona MySQL Server Template,
Handler Read Rnd Next,MySQL.Handler-read-rnd-next,300,0,MySQL Handler Read Rnd Next,MySQL,,Percona MySQL Server Template,
Handler Rollback,MySQL.Handler-rollback,300,0,MySQL Handler Rollback,MySQL,,Percona MySQL Server Template,
Handler Savepoint,MySQL.Handler-savepoint,300,0,MySQL Handler Savepoint,MySQL,,Percona MySQL Server Template,
Handler Savepoint Rollback,MySQL.Handler-savepoint-rollback,300,0,MySQL Handler Savepoint Rollback,MySQL,,Percona MySQL Server Template,
Handler Update,MySQL.Handler-update,300,0,MySQL Handler Update,MySQL,,Percona MySQL Server Template,
Handler Write,MySQL.Handler-write,300,0,MySQL Handler Write,MySQL,,Percona MySQL Server Template,
Hash Index Cells Total,MySQL.hash-index-cells-total,300,0,MySQL Hash Index Cells Total,MySQL,,Percona MySQL Server Template,
Hash Index Cells Used,MySQL.hash-index-cells-used,300,0,MySQL Hash Index Cells Used,MySQL,,Percona MySQL Server Template,
History List,MySQL.history-list,300,0,MySQL History List,MySQL,,Percona MySQL Server Template,
Ibuf Cell Count,MySQL.ibuf-cell-count,300,0,MySQL Ibuf Cell Count,MySQL,,Percona MySQL Server Template,
Ibuf Free Cells,MySQL.ibuf-free-cells,300,0,MySQL Ibuf Free Cells,MySQL,,Percona MySQL Server Template,
Ibuf Inserts,MySQL.ibuf-inserts,300,0,MySQL Ibuf Inserts,MySQL,,Percona MySQL Server Template,
Ibuf Merged,MySQL.ibuf-merged,300,0,MySQL Ibuf Merged,MySQL,,Percona MySQL Server Template,
Ibuf Merges,MySQL.ibuf-merges,300,0,MySQL Ibuf Merges,MySQL,,Percona MySQL Server Template,
Ibuf Used Cells,MySQL.ibuf-used-cells,300,0,MySQL Ibuf Used Cells,MySQL,,Percona MySQL Server Template,
Innodb Lock Structs,MySQL.innodb-lock-structs,300,0,MySQL Innodb Lock Structs,MySQL,,Percona MySQL Server Template,
Innodb Lock Wait Secs,MySQL.innodb-lock-wait-secs,300,0,MySQL Innodb Lock Wait Secs,MySQL,,Percona MySQL Server Template,
Innodb Locked Tables,MySQL.innodb-locked-tables,300,0,MySQL Innodb Locked Tables,MySQL,,Percona MySQL Server Template,
Innodb Log Buffer Size,MySQL.innodb-log-buffer-size,300,0,MySQL Innodb Log Buffer Size,MySQL,,Percona MySQL Server Template,B
Innodb Row Lock Time,MySQL.Innodb-row-lock-time,300,0,MySQL Innodb Row Lock Time,MySQL,,Percona MySQL Server Template,
Innodb Row Lock Waits,MySQL.Innodb-row-lock-waits,300,0,MySQL Innodb Row Lock Waits,MySQL,,Percona MySQL Server Template,
Innodb Sem Wait Time Ms,MySQL.innodb-sem-wait-time-ms,300,0,MySQL Innodb Sem Wait Time Ms,MySQL,,Percona MySQL Server Template,
Innodb Sem Waits,MySQL.innodb-sem-waits,300,0,MySQL Innodb Sem Waits,MySQL,,Percona MySQL Server Template,
Innodb Tables In Use,MySQL.innodb-tables-in-use,300,0,MySQL Innodb Tables In Use,MySQL,,Percona MySQL Server Template,
Innodb Transactions,MySQL.innodb-transactions,300,0,MySQL Innodb Transactions,MySQL,,Percona MySQL Server Template,
Key Buf Bytes Unflushed,MySQL.Key-buf-bytes-unflushed,300,0,MySQL Key Buf Bytes Unflushed,MySQL,,Percona MySQL Server Template,B
Key Buf Bytes Used,MySQL.Key-buf-bytes-used,300,0,MySQL Key Buf Bytes Used,MySQL,,Percona MySQL Server Template,B
Key Buffer Size,MySQL.key-buffer-size,300,0,MySQL Key Buffer Size,MySQL,,Percona MySQL Server Template,B
Key Read Requests,MySQL.Key-read-requests,300,0,MySQL Key Read Requests,MySQL,,Percona MySQL Server Template,
Key Reads,MySQL.Key-reads,300,0,MySQL Key Reads,MySQL,,Percona MySQL Server Template,
Key Write Requests,MySQL.Key-write-requests,300,0,MySQL Key Write Requests,MySQL,,Percona MySQL Server Template,
Key Writes,MySQL.Key-writes,300,0,MySQL Key Writes,MySQL,,Percona MySQL Server Template,
Lock System Memory,MySQL.lock-system-memory,300,0,MySQL Lock System Memory,MySQL,,Percona MySQL Server Template,B
Locked Transactions,MySQL.locked-transactions,300,0,MySQL Locked Transactions,MySQL,,Percona MySQL Server Template,
Log Bytes Flushed,MySQL.log-bytes-flushed,300,0,MySQL Log Bytes Flushed,MySQL,,Percona MySQL Server Template,B
Log Bytes Written,MySQL.log-bytes-written,300,0,MySQL Log Bytes Written,MySQL,,Percona MySQL Server Template,B
Log Writes,MySQL.log-writes,300,0,MySQL Log Writes,MySQL,,Percona MySQL Server Template,
Max Connections,MySQL.max-connections,300,0,MySQL Max Connections,MySQL,,Percona MySQL Server Template,
Max Used Connections,MySQL.Max-used-connections,300,0,MySQL Max Used Connections,MySQL,,Percona MySQL Server Template,
Modified Pages,MySQL.modified-pages,300,0,MySQL Modified Pages,MySQL,,Percona MySQL Server Template,B
Open Files,MySQL.Open-files,300,0,MySQL Open Files,MySQL,,Percona MySQL Server Template,
Open Tables,MySQL.Open-tables,300,0,MySQL Open Tables,MySQL,,Percona MySQL Server Template,
Opened Tables,MySQL.Opened-tables,300,0,MySQL Opened Tables,MySQL,,Percona MySQL Server Template,
Os Waits,MySQL.os-waits,300,0,MySQL Os Waits,MySQL,,Percona MySQL Server Template,
Page Hash Memory,MySQL.page-hash-memory,300,0,MySQL Page Hash Memory,MySQL,,Percona MySQL Server Template,B
Pages Created,MySQL.pages-created,300,0,MySQL Pages Created,MySQL,,Percona MySQL Server Template,B
Pages Read,MySQL.pages-read,300,0,MySQL Pages Read,MySQL,,Percona MySQL Server Template,B
Pages Written,MySQL.pages-written,300,0,MySQL Pages Written,MySQL,,Percona MySQL Server Template,B
Pending Aio Log Ios,MySQL.pending-aio-log-ios,300,0,MySQL Pending Aio Log Ios,MySQL,,Percona MySQL Server Template,
Pending Aio Sync Ios,MySQL.pending-aio-sync-ios,300,0,MySQL Pending Aio Sync Ios,MySQL,,Percona MySQL Server Template,
Pending Buf Pool Flushes,MySQL.pending-buf-pool-flushes,300,0,MySQL Pending Buf Pool Flushes,MySQL,,Percona MySQL Server Template,
Pending Chkp Writes,MySQL.pending-chkp-writes,300,0,MySQL Pending Chkp Writes,MySQL,,Percona MySQL Server Template,
Pending Ibuf Aio Reads,MySQL.pending-ibuf-aio-reads,300,0,MySQL Pending Ibuf Aio Reads,MySQL,,Percona MySQL Server Template,
Pending Log Flushes,MySQL.pending-log-flushes,300,0,MySQL Pending Log Flushes,MySQL,,Percona MySQL Server Template,
Pending Log Writes,MySQL.pending-log-writes,300,0,MySQL Pending Log Writes,MySQL,,Percona MySQL Server Template,
Pending Normal Aio Reads,MySQL.pending-normal-aio-reads,300,0,MySQL Pending Normal Aio Reads,MySQL,,Percona MySQL Server Template,
Pending Normal Aio Writes,MySQL.pending-normal-aio-writes,300,0,MySQL Pending Normal Aio Writes,MySQL,,Percona MySQL Server Template,
Pool Read Requests,MySQL.pool-read-requests,300,0,MySQL Pool Read Requests,MySQL,,Percona MySQL Server Template,
Pool Reads,MySQL.pool-reads,300,0,MySQL Pool Reads,MySQL,,Percona MySQL Server Template,
Pool Size,MySQL.pool-size,300,0,MySQL Pool Size,MySQL,,Percona MySQL Server Template,B
Qcache Free Blocks,MySQL.Qcache-free-blocks,300,0,MySQL Qcache Free Blocks,MySQL,,Percona MySQL Server Template,B
Qcache Free Memory,MySQL.Qcache-free-memory,300,0,MySQL Qcache Free Memory,MySQL,,Percona MySQL Server Template,B
Qcache Hits,MySQL.Qcache-hits,300,0,MySQL Qcache Hits,MySQL,,Percona MySQL Server Template,B
Qcache Inserts,MySQL.Qcache-inserts,300,0,MySQL Qcache Inserts,MySQL,,Percona MySQL Server Template,B
Qcache Lowmem Prunes,MySQL.Qcache-lowmem-prunes,300,0,MySQL Qcache Lowmem Prunes,MySQL,,Percona MySQL Server Template,B
Qcache Not Cached,MySQL.Qcache-not-cached,300,0,MySQL Qcache Not Cached,MySQL,,Percona MySQL Server Template,B
Qcache Queries In Cache,MySQL.Qcache-queries-in-cache,300,0,MySQL Qcache Queries In Cache,MySQL,,Percona MySQL Server Template,B
Qcache Total Blocks,MySQL.Qcache-total-blocks,300,0,MySQL Qcache Total Blocks,MySQL,,Percona MySQL Server Template,B
Query Cache Size,MySQL.query-cache-size,300,0,MySQL Query Cache Size,MySQL,,Percona MySQL Server Template,B
Query Time Count 00,MySQL.Query-time-count-00,300,0,MySQL Query Time Count 00,MySQL,,Percona MySQL Server Template,
Query Time Count 01,MySQL.Query-time-count-01,300,0,MySQL Query Time Count 01,MySQL,,Percona MySQL Server Template,
Query Time Count 02,MySQL.Query-time-count-02,300,0,MySQL Query Time Count 02,MySQL,,Percona MySQL Server Template,
Query Time Count 03,MySQL.Query-time-count-03,300,0,MySQL Query Time Count 03,MySQL,,Percona MySQL Server Template,
Query Time Count 04,MySQL.Query-time-count-04,300,0,MySQL Query Time Count 04,MySQL,,Percona MySQL Server Template,
Query Time Count 05,MySQL.Query-time-count-05,300,0,MySQL Query Time Count 05,MySQL,,Percona MySQL Server Template,
Query Time Count 06,MySQL.Query-time-count-06,300,0,MySQL Query Time Count 06,MySQL,,Percona MySQL Server Template,
Query Time Count 07,MySQL.Query-time-count-07,300,0,MySQL Query Time Count 07,MySQL,,Percona MySQL Server Template,
Query Time Count 08,MySQL.Query-time-count-08,300,0,MySQL Query Time Count 08,MySQL,,Percona MySQL Server Template,
Query Time Count 09,MySQL.Query-time-count-09,300,0,MySQL Query Time Count 09,MySQL,,Percona MySQL Server Template,
Query Time Count 10,MySQL.Query-time-count-10,300,0,MySQL Query Time Count 10,MySQL,,Percona MySQL Server Template,
Query Time Count 11,MySQL.Query-time-count-11,300,0,MySQL Query Time Count 11,MySQL,,Percona MySQL Server Template,
Query Time Count 12,MySQL.Query-time-count-12,300,0,MySQL Query Time Count 12,MySQL,,Percona MySQL Server Template,
Query Time Count 13,MySQL.Query-time-count-13,300,0,MySQL Query Time Count 13,MySQL,,Percona MySQL Server Template,
Query Time Total 00,MySQL.Query-time-total-00,300,0,MySQL Query Time Total 00,MySQL,,Percona MySQL Server Template,
Query Time Total 01,MySQL.Query-time-total-01,300,0,MySQL Query Time Total 01,MySQL,,Percona MySQL Server Template,
Query Time Total 02,MySQL.Query-time-total-02,300,0,MySQL Query Time Total 02,MySQL,,Percona MySQL Server Template,
Query Time Total 03,MySQL.Query-time-total-03,300,0,MySQL Query Time Total 03,MySQL,,Percona MySQL Server Template,
Query Time Total 04,MySQL.Query-time-total-04,300,0,MySQL Query Time Total 04,MySQL,,Percona MySQL Server Template,
Query Time Total 05,MySQL.Query-time-total-05,300,0,MySQL Query Time Total 05,MySQL,,Percona MySQL Server Template,
Query Time Total 06,MySQL.Query-time-total-06,300,0,MySQL Query Time Total 06,MySQL,,Percona MySQL Server Template,
Query Time Total 07,MySQL.Query-time-total-07,300,0,MySQL Query Time Total 07,MySQL,,Percona MySQL Server Template,
Query Time Total 08,MySQL.Query-time-total-08,300,0,MySQL Query Time Total 08,MySQL,,Percona MySQL Server Template,
Query Time Total 09,MySQL.Query-time-total-09,300,0,MySQL Query Time Total 09,MySQL,,Percona MySQL Server Template,
Query Time Total 10,MySQL.Query-time-total-10,300,0,MySQL Query Time Total 10,MySQL,,Percona MySQL Server Template,
Query Time Total 11,MySQL.Query-time-total-11,300,0,MySQL Query Time Total 11,MySQL,,Percona MySQL Server Template,
Query Time Total 12,MySQL.Query-time-total-12,300,0,MySQL Query Time Total 12,MySQL,,Percona MySQL Server Template,
Query Time Total 13,MySQL.Query-time-total-13,300,0,MySQL Query Time Total 13,MySQL,,Percona MySQL Server Template,
Questions,MySQL.Questions,300,0,MySQL Questions,MySQL,,Percona MySQL Server Template,
Read Views,MySQL.read-views,300,0,MySQL Read Views,MySQL,,Percona MySQL Server Template,
Recovery System Memory,MySQL.recovery-system-memory,300,0,MySQL Recovery System Memory,MySQL,,Percona MySQL Server Template,B
Relay Log Space,MySQL.relay-log-space,300,0,MySQL Relay Log Space,MySQL,,Percona MySQL Server Template,B
Rows Deleted,MySQL.rows-deleted,300,0,MySQL Rows Deleted,MySQL,,Percona MySQL Server Template,
Rows Inserted,MySQL.rows-inserted,300,0,MySQL Rows Inserted,MySQL,,Percona MySQL Server Template,
Rows Read,MySQL.rows-read,300,0,MySQL Rows Read,MySQL,,Percona MySQL Server Template,
Rows Updated,MySQL.rows-updated,300,0,MySQL Rows Updated,MySQL,,Percona MySQL Server Template,
MySQL running slave,MySQL.running-slave,60,3,MySQL running slave,MySQL,,Percona MySQL Server Template,
Select Full Join,MySQL.Select-full-join,300,0,MySQL Select Full Join,MySQL,,Percona MySQL Server Template,
Select Full Range Join,MySQL.Select-full-range-join,300,0,MySQL Select Full Range Join,MySQL,,Percona MySQL Server Template,
Select Range,MySQL.Select-range,300,0,MySQL Select Range,MySQL,,Percona MySQL Server Template,
Select Range Check,MySQL.Select-range-check,300,0,MySQL Select Range Check,MySQL,,Percona MySQL Server Template,
Select Scan,MySQL.Select-scan,300,0,MySQL Select Scan,MySQL,,Percona MySQL Server Template,
Slave Lag,MySQL.slave-lag,300,0,MySQL Slave Lag,MySQL,,Percona MySQL Server Template,
Slave Open Temp Tables,MySQL.Slave-open-temp-tables,300,0,MySQL Slave Open Temp Tables,MySQL,,Percona MySQL Server Template,
Slave Retried Transactions,MySQL.Slave-retried-transactions,300,0,MySQL Slave Retried Transactions,MySQL,,Percona MySQL Server Template,
Slave Running,MySQL.slave-running,300,0,MySQL Slave Running,MySQL,,Percona MySQL Server Template,
Slave Stopped,MySQL.slave-stopped,300,0,MySQL Slave Stopped,MySQL,,Percona MySQL Server Template,
MySQL Slave Slave_IO_Running 运行状态,mysql.slave[io],30s,3,监控Mysql slave IO进程是否异常,MySQL,,Percona MySQL Server Template,
MySQL Slave Slave_SQL_Running 运行状态,mysql.slave[sql],30s,3,监控Mysql slave slave进程是否异常,MySQL,,Percona MySQL Server Template,
Slow Queries,MySQL.Slow-queries,300,0,MySQL Slow Queries,MySQL,,Percona MySQL Server Template,
Sort Merge Passes,MySQL.Sort-merge-passes,300,0,MySQL Sort Merge Passes,MySQL,,Percona MySQL Server Template,
Sort Range,MySQL.Sort-range,300,0,MySQL Sort Range,MySQL,,Percona MySQL Server Template,
Sort Rows,MySQL.Sort-rows,300,0,MySQL Sort Rows,MySQL,,Percona MySQL Server Template,
Sort Scan,MySQL.Sort-scan,300,0,MySQL Sort Scan,MySQL,,Percona MySQL Server Template,
Spin Rounds,MySQL.spin-rounds,300,0,MySQL Spin Rounds,MySQL,,Percona MySQL Server Template,
Spin Waits,MySQL.spin-waits,300,0,MySQL Spin Waits,MySQL,,Percona MySQL Server Template,
State Closing Tables,MySQL.State-closing-tables,300,0,MySQL State Closing Tables,MySQL,,Percona MySQL Server Template,
State Copying To Tmp Table,MySQL.State-copying-to-tmp-table,300,0,MySQL State Copying To Tmp Table,MySQL,,Percona MySQL Server Template,
State End,MySQL.State-end,300,0,MySQL State End,MySQL,,Percona MySQL Server Template,
State Freeing Items,MySQL.State-freeing-items,300,0,MySQL State Freeing Items,MySQL,,Percona MySQL Server Template,
State Init,MySQL.State-init,300,0,MySQL State Init,MySQL,,Percona MySQL Server Template,
State Locked,MySQL.State-locked,300,0,MySQL State Locked,MySQL,,Percona MySQL Server Template,
State Login,MySQL.State-login,300,0,MySQL State Login,MySQL,,Percona MySQL Server Template,
State None,MySQL.State-none,300,0,MySQL State None,MySQL,,Percona MySQL Server Template,
State Other,MySQL.State-other,300,0,MySQL State Other,MySQL,,Percona MySQL Server Template,
State Preparing,MySQL.State-preparing,300,0,MySQL State Preparing,MySQL,,Percona MySQL Server Template,
State Reading From Net,MySQL.State-reading-from-net,300,0,MySQL State Reading From Net,MySQL,,Percona MySQL Server Template,
State Sending Data,MySQL.State-sending-data,300,0,MySQL State Sending Data,MySQL,,Percona MySQL Server Template,
State Sorting Result,MySQL.State-sorting-result,300,0,MySQL State Sorting Result,MySQL,,Percona MySQL Server Template,
State Statistics,MySQL.State-statistics,300,0,MySQL State Statistics,MySQL,,Percona MySQL Server Template,
State Updating,MySQL.State-updating,300,0,MySQL State Updating,MySQL,,Percona MySQL Server Template,
State Writing To Net,MySQL.State-writing-to-net,300,0,MySQL State Writing To Net,MySQL,,Percona MySQL Server Template,
Table Cache,MySQL.table-cache,300,0,MySQL Table Cache,MySQL,,Percona MySQL Server Template,
Table Locks Immediate,MySQL.Table-locks-immediate,300,0,MySQL Table Locks Immediate,MySQL,,Percona MySQL Server Template,
Table Locks Waited,MySQL.Table-locks-waited,300,0,MySQL Table Locks Waited,MySQL,,Percona MySQL Server Template,
Thread Cache Size,MySQL.thread-cache-size,300,0,MySQL Thread Cache Size,MySQL,,Percona MySQL Server Template,
Thread Hash Memory,MySQL.thread-hash-memory,300,0,MySQL Thread Hash Memory,MySQL,,Percona MySQL Server Template,B
Threads Cached,MySQL.Threads-cached,300,0,MySQL Threads Cached,MySQL,,Percona MySQL Server Template,
Threads Connected,MySQL.Threads-connected,300,0,MySQL Threads Connected,MySQL,,Percona MySQL Server Template,
Threads Created,MySQL.Threads-created,300,0,MySQL Threads Created,MySQL,,Percona MySQL Server Template,
Threads Running,MySQL.Threads-running,300,0,MySQL Threads Running,MySQL,,Percona MySQL Server Template,
Total Mem Alloc,MySQL.total-mem-alloc,300,0,MySQL Total Mem Alloc,MySQL,,Percona MySQL Server Template,B
Uncheckpointed Bytes,MySQL.uncheckpointed-bytes,300,0,MySQL Uncheckpointed Bytes,MySQL,,Percona MySQL Server Template,B
Unflushed Log,MySQL.unflushed-log,300,0,MySQL Unflushed Log,MySQL,,Percona MySQL Server Template,B
Total number of mysqld processes,proc.num[mysqld],60,3,Total number of mysqld processes,MySQL,,Percona MySQL Server Template,
Storage_snmptrap,snmptrap.fallback,0,4,,Storage_monitor,,Stroage_template,
http-8080 bytes received per second,"jmx[""Catalina:type=GlobalRequestProcessor,name=http-8080"",bytesReceived]",1m,0,,http-8080,,Template App Apache Tomcat JMX,B
http-8080 bytes sent per second,"jmx[""Catalina:type=GlobalRequestProcessor,name=http-8080"",bytesSent]",1m,0,,http-8080,,Template App Apache Tomcat JMX,B
http-8080 errors per second,"jmx[""Catalina:type=GlobalRequestProcessor,name=http-8080"",errorCount]",1m,0,,http-8080,,Template App Apache Tomcat JMX,
http-8080 request processing time,"jmx[""Catalina:type=GlobalRequestProcessor,name=http-8080"",processingTime]",1m,0,,http-8080,,Template App Apache Tomcat JMX,s
http-8080 requests per second,"jmx[""Catalina:type=GlobalRequestProcessor,name=http-8080"",requestCount]",1m,0,,http-8080,,Template App Apache Tomcat JMX,
http-8443 bytes received per second,"jmx[""Catalina:type=GlobalRequestProcessor,name=http-8443"",bytesReceived]",1m,0,,http-8443,,Template App Apache Tomcat JMX,B
http-8443 bytes sent per second,"jmx[""Catalina:type=GlobalRequestProcessor,name=http-8443"", bytesSent]",1m,0,,http-8443,,Template App Apache Tomcat JMX,B
http-8443 errors per second,"jmx[""Catalina:type=GlobalRequestProcessor,name=http-8443"",errorCount]",1m,0,,http-8443,,Template App Apache Tomcat JMX,
http-8443 request processing time,"jmx[""Catalina:type=GlobalRequestProcessor,name=http-8443"",processingTime]",1m,0,,http-8443,,Template App Apache Tomcat JMX,s
http-8443 requests per second,"jmx[""Catalina:type=GlobalRequestProcessor,name=http-8443"",requestCount]",1m,0,,http-8443,,Template App Apache Tomcat JMX,
jk-8009 bytes received per second,"jmx[""Catalina:type=GlobalRequestProcessor,name=jk-8009"", bytesReceived]",1m,0,,jk-8009,,Template App Apache Tomcat JMX,B
jk-8009 bytes sent per second,"jmx[""Catalina:type=GlobalRequestProcessor,name=jk-8009"",bytesSent]",1m,0,,jk-8009,,Template App Apache Tomcat JMX,B
jk-8009 errors per second,"jmx[""Catalina:type=GlobalRequestProcessor,name=jk-8009"",errorCount]",1m,0,,jk-8009,,Template App Apache Tomcat JMX,
jk-8009 request processing time,"jmx[""Catalina:type=GlobalRequestProcessor,name=jk-8009"",processingTime]",1m,0,,jk-8009,,Template App Apache Tomcat JMX,s
jk-8009 requests per second,"jmx[""Catalina:type=GlobalRequestProcessor,name=jk-8009"",requestCount]",1m,0,,jk-8009,,Template App Apache Tomcat JMX,
Number of active sessions at this moment,"jmx[""Catalina:type=Manager,path=/,host=localhost"",activeSessions]",1m,3,,Sessions,,Template App Apache Tomcat JMX,
"The maximum number of active Sessions allowed, or -1 for no limit","jmx[""Catalina:type=Manager,path=/,host=localhost"",maxActiveSessions]",1h,0,,Sessions,,Template App Apache Tomcat JMX,
Maximum number of active sessions so far,"jmx[""Catalina:type=Manager,path=/,host=localhost"",maxActive]",1m,3,,Sessions,,Template App Apache Tomcat JMX,
Number of sessions we rejected due to maxActive being reached,"jmx[""Catalina:type=Manager,path=/,host=localhost"",rejectedSessions]",1m,3,,Sessions,,Template App Apache Tomcat JMX,
Number of sessions created by this manager per second,"jmx[""Catalina:type=Manager,path=/,host=localhost"",sessionCounter]",1m,0,,Sessions,,Template App Apache Tomcat JMX,
http-8080 gzip compression,"jmx[""Catalina:type=ProtocolHandler,port=8080"",compression]",1h,1,,http-8080,,Template App Apache Tomcat JMX,
http-8443 gzip compression,"jmx[""Catalina:type=ProtocolHandler,port=8443"",compression]",1h,1,,http-8443,,Template App Apache Tomcat JMX,
Tomcat version,"jmx[""Catalina:type=Server"",serverInfo]",1h,1,,Tomcat,,Template App Apache Tomcat JMX,
http-8080 threads allocated,"jmx[""Catalina:type=ThreadPool,name=http-8080"",currentThreadCount]",1m,3,,http-8080,,Template App Apache Tomcat JMX,
http-8080 threads busy,"jmx[""Catalina:type=ThreadPool,name=http-8080"",currentThreadsBusy]",1m,3,,http-8080,,Template App Apache Tomcat JMX,
http-8080 threads max,"jmx[""Catalina:type=ThreadPool,name=http-8080"",maxThreads]",1h,3,,http-8080,,Template App Apache Tomcat JMX,
http-8443 threads allocated,"jmx[""Catalina:type=ThreadPool,name=http-8443"",currentThreadCount]",1m,3,,http-8443,,Template App Apache Tomcat JMX,
http-8443 threads busy,"jmx[""Catalina:type=ThreadPool,name=http-8443"",currentThreadsBusy]",1m,3,,http-8443,,Template App Apache Tomcat JMX,
http-8443 threads max,"jmx[""Catalina:type=ThreadPool,name=http-8443"",maxThreads]",1h,3,,http-8443,,Template App Apache Tomcat JMX,
jk-8009 threads allocated,"jmx[""Catalina:type=ThreadPool,name=jk-8009"",currentThreadCount]",1m,3,,jk-8009,,Template App Apache Tomcat JMX,
jk-8009 threads busy,"jmx[""Catalina:type=ThreadPool,name=jk-8009"",currentThreadsBusy]",1m,3,,jk-8009,,Template App Apache Tomcat JMX,
jk-8009 threads max,"jmx[""Catalina:type=ThreadPool,name=jk-8009"",maxThreads]",1h,3,,jk-8009,,Template App Apache Tomcat JMX,
FTP service is running,net.tcp.service[ftp],1m,3,,FTP service,,Template App FTP Service,
cl Loaded Class Count,"jmx[""java.lang:type=ClassLoading"",LoadedClassCount]",1m,3,,Classes,,Template App Generic Java JMX,
cl Total Loaded Class Count,"jmx[""java.lang:type=ClassLoading"",TotalLoadedClassCount]",1m,3,,Classes,,Template App Generic Java JMX,
cl Unloaded Class Count,"jmx[""java.lang:type=ClassLoading"",UnloadedClassCount]",1m,3,,Classes,,Template App Generic Java JMX,
comp Name of the current JIT compiler,"jmx[""java.lang:type=Compilation"",Name]",1h,1,,Compilation,,Template App Generic Java JMX,
comp Accumulated time spent in compilation,"jmx[""java.lang:type=Compilation"",TotalCompilationTime]",1m,0,,Compilation,,Template App Generic Java JMX,s
gc ConcurrentMarkSweep number of collections per second,"jmx[""java.lang:type=GarbageCollector,name=ConcurrentMarkSweep"",CollectionCount]",1m,0,,Garbage collector,,Template App Generic Java JMX,
gc ConcurrentMarkSweep accumulated time spent in collection,"jmx[""java.lang:type=GarbageCollector,name=ConcurrentMarkSweep"",CollectionTime]",1m,0,,Garbage collector,,Template App Generic Java JMX,s
gc Copy number of collections per second,"jmx[""java.lang:type=GarbageCollector,name=Copy"",CollectionCount]",1m,0,,Garbage collector,,Template App Generic Java JMX,
gc Copy accumulated time spent in collection,"jmx[""java.lang:type=GarbageCollector,name=Copy"",CollectionTime]",1m,0,,Garbage collector,,Template App Generic Java JMX,s
gc MarkSweepCompact number of collections per second,"jmx[""java.lang:type=GarbageCollector,name=MarkSweepCompact"",CollectionCount]",1m,0,,Garbage collector,,Template App Generic Java JMX,
gc MarkSweepCompact accumulated time spent in collection,"jmx[""java.lang:type=GarbageCollector,name=MarkSweepCompact"",CollectionTime]",1m,0,,Garbage collector,,Template App Generic Java JMX,s
gc ParNew number of collections per second,"jmx[""java.lang:type=GarbageCollector,name=ParNew"",CollectionCount]",1m,0,,Garbage collector,,Template App Generic Java JMX,
gc ParNew accumulated time spent in collection,"jmx[""java.lang:type=GarbageCollector,name=ParNew"",CollectionTime]",1m,0,,Garbage collector,,Template App Generic Java JMX,s
gc PS MarkSweep number of collections per second,"jmx[""java.lang:type=GarbageCollector,name=PS MarkSweep"",CollectionCount]",1m,0,,Garbage collector,,Template App Generic Java JMX,
