key,template_x,itemname,value_type,description,application,discovery_rule,template_y,units
"jmx[""java.lang:type=Compilation"",Name]",['Template App Generic Java JMX'],comp Name of the current JIT compiler,1,,Compilation,,Template App Generic Java JMX,
vip.glance.api.status,['Template OpenStack Cluster'],Glance VIP API test succeeded,3,,Controllers,,Template OpenStack Cluster,
vip.cinder.api.status,['Template OpenStack Cluster'],Cinder VIP API test succeeded,3,,Controllers,,Template OpenStack Cluster,
vip.nova.api.status,['Template OpenStack Cluster'],Nova VIP API test succeeded,3,,Controllers,,Template OpenStack Cluster,
vip.neutron.api.status,['Template OpenStack Cluster'],Neutron VIP API test succeeded,3,,Controllers,,Template OpenStack Cluster,
vip.keystone.api.status,['Template OpenStack Cluster'],Keystone VIP API test succeeded,3,,Controllers,,Template OpenStack Cluster,
vip.keystone.service.api.status,['Template OpenStack Cluster'],Keystone service VIP API test succeeded,3,,Controllers,,Template OpenStack Cluster,
"proc.num[sshd,,,]",['Template OpenStack OS Linux'],SSH Server process is running,3,,Core Services,,Template OpenStack OS Linux,
"proc.num[rsyslogd,,,]",['Template OpenStack OS Linux'],RsyslogD Server process is running,3,,Core Services,,Template OpenStack OS Linux,
"proc.num[ntpd,,,]",['Template OpenStack OS Linux'],NTP Server process is running,3,,Core Services,,Template OpenStack OS Linux,
"net.tcp.service[ssh,,10022]",['Template OpenStack OS Linux'],SSH Server is listening on port,3,,Core Services,,Template OpenStack OS Linux,
"net.dns[,zabbix.com,,2,1]",['Template OpenStack OS Linux'],DNS lookup,3,,DNS,,Template OpenStack OS Linux,
"vmware.hv.datastore.read[{$URL},{HOST.HOST},{#DATASTORE},latency]",['Template VM VMware Hypervisor'],Average read latency of the datastore {#DATASTORE},3,,Datastore,Datastore discovery,Template VM VMware Hypervisor,
"disk.status[{#DEVNAME},readops]",['Template OpenStack OS Linux'],Disk {#DEVNAME} reads ops,3,,Disk I/O,Block devices discovery,Template OpenStack OS Linux,iops/s
system.hw.diskarray.model[cpqDaCntlrModel.{#SNMPINDEX}],['Template Server HP iLO SNMPv2'],{#CNTLR_LOCATION}: Disk array controller model,3,"MIB: CPQIDA-MIB
Array Controller Model. The type of controller card.",Disk arrays,Array Controller Discovery,Template Server HP iLO SNMPv2,
system.hw.diskarray.cache.battery.status[batteryState.{#SNMPINDEX}],['Template Server Dell iDRAC SNMPv2'],Battery {#BATTERY_NUM}: Disk array cache controller battery status,3,"MIB: IDRAC-MIB-SMIv2
Current state of battery.
Possible values:
1: The current state could not be determined.
2: The battery is operating normally.
3: The battery has failed and needs to be replaced.
4: The battery temperature is high or charge level is depleting.
5: The battery is missing or not detected.
6: The battery is undergoing the re-charge phase.
7: The battery voltage or charge level is below the threshold.",Disk arrays,Array Controller Cache Discovery,Template Server Dell iDRAC SNMPv2,
system.hw.diskarray.cache.battery.status[cpqDaAccelBattery.{#SNMPINDEX}],['Template Server HP iLO SNMPv2'],#{#CACHE_CNTRL_INDEX}: Disk array cache controller battery status,3,"MIB: CPQIDA-MIB
Cache Module Board Backup Power Status. This monitors the status of each backup power source on the board.
The backup power source can only recharge when the system has power applied. The type of backup power source used is indicated by cpqDaAccelBackupPowerSource.
The following values are valid:
Other (1)  Indicates that the instrument agent does not recognize  backup power status.  You may need to update your software.

Ok (2)  The backup power source is fully charged.

Recharging (3)  The array controller has one or more cache module backup power  sources that are recharging.
Cache module operations such as Battery/Flash Backed Write Cache, Expansion, Extension and Migration are temporarily suspended until the backup power source is fully charged.
Cache module operations will automatically resume  when charging is complete.

Failed (4)  The battery pack is below the sufficient voltage level and  has not recharged in 36 hours.
Your Cache Module board  needs to be serviced.

Degraded (5)  The battery is still operating, however, one of the batteries  in the pack has failed to recharge properly.
Your Cache  Module board should be serviced as soon as possible.

NotPresent (6)  A backup power source is not present on the cache module board. Some controllers do not have backup power sources.

Capacitor Failed (7)  The flash backed cache module capacitor is below the sufficient voltage level and has not recharged in 10 minutes.  Your Cache Module board needs to be serviced.",Disk arrays,Array Controller Cache Discovery,Template Server HP iLO SNMPv2,
system.hw.diskarray.model[controllerName.{#SNMPINDEX}],['Template Server Dell iDRAC SNMPv2'],{#CNTLR_NAME}: Disk array controller model,1,"MIB: IDRAC-MIB-SMIv2
The controller's name as represented in Storage Management.",Disk arrays,Array Controller Discovery,Template Server Dell iDRAC SNMPv2,
"vmware.vm.vfs.dev.read[{$URL},{HOST.HOST},{#DISKNAME},bps]",['Template VM VMware Guest'],Average number of bytes read from the disk {#DISKDESC},3,,Disks,Disk device discovery,Template VM VMware Guest,Bps
net.tcp.service[ftp],['Template App FTP Service'],FTP service is running,3,,FTP service,,Template App FTP Service,
sensor.fan.status[ciscoEnvMonFanState.{#SNMPINDEX}],['Template Module Cisco CISCO-ENVMON-MIB SNMPv2'],{#SENSOR_INFO}: Fan status,3,MIB: CISCO-ENVMON-MIB,Fans,FAN Discovery,Template Module Cisco CISCO-ENVMON-MIB SNMPv2,
sensor.fan.status[cpqHeFltTolFanCondition.{#SNMPINDEX}],['Template Server HP iLO SNMPv2'],Fan {#SNMPINDEX}: Fan status,3,"MIB: CPQHLTH-MIB
The condition of the fan.
This value will be one of the following:
other(1)  Fan status detection is not supported by this system or driver.
ok(2)  The fan is operating properly.
degraded(2)  A redundant fan is not operating properly.
failed(4)  A non-redundant fan is not operating properly.",Fans,FAN Discovery,Template Server HP iLO SNMPv2,
system_fan_3,"['Template Server Intel SR1630 IPMI', 'Template Server Intel SR1530 IPMI']",System Fan 3,0,,Fans,,Template Server Intel SR1630 IPMI,RPM
sensor.fan.speed.percentage[sensorReading.{#SNMPINDEX}],['Template Server Supermicro Aten SNMPv2'],"{#SENSOR_DESCR}: Fan speed, %",3,"MIB: ATEN-IPMI-MIB
A textual string containing information about the interface.
This string should include the name of the manufacturer, the product name and the version of the interface hardware/software.",Fans,FAN Discovery,Template Server Supermicro Aten SNMPv2,%
sensor.fan.speed.percentage[fanSpeed.{#SNMPINDEX}],"['Template Server IBM IMM SNMPv2', 'Template Server IBM IMM SNMPv1']","{#FAN_DESCR}: Fan speed, %",3,"MIB: IMM-MIB
Fan speed expressed in percent(%) of maximum RPM.
An octet string expressed as 'ddd% of maximum' where:d is a decimal digit or blank space for a leading zero.
If the fan is determined not to be running or the fan speed cannot be determined, the string will indicate 'Offline'.",Fans,FAN Discovery,Template Server IBM IMM SNMPv2,%
sensor.fan.speed[swSensorValue.{#SNMPINDEX}],['Template Net Brocade FC SNMPv2'],{#SENSOR_INFO}: Fan speed,3,"MIB: SW-MIB
The current value (reading) of the sensor.
The value, -2147483648, represents an unknown quantity.
The fan value will be in RPM(revolution per minute)",Fans,FAN Discovery,Template Net Brocade FC SNMPv2,rpm
system_fan_2,['Template Server Intel SR1630 IPMI'],System Fan 2,0,,Fans,,Template Server Intel SR1630 IPMI,RPM
sensor.fan.status[snChasFanOperStatus.{#SNMPINDEX}],['Template Net Brocade_Foundry Nonstackable SNMPv2'],Fan {#FAN_INDEX}: Fan status,3,MIB: FOUNDRY-SN-AGENT-MIB,Fans,FAN Discovery,Template Net Brocade_Foundry Nonstackable SNMPv2,
sensor.fan.speed[entPhySensorValue.{#SNMPINDEX}],"['Template Net Mellanox SNMPv2', 'Template Net Arista SNMPv2']",{#SENSOR_INFO}: Fan speed,3,"MIB: ENTITY-SENSORS-MIB
The most recent measurement obtained by the agent for this sensor.
To correctly interpret the value of this object, the associated entPhySensorType,
entPhySensorScale, and entPhySensorPrecision objects must also be examined.",Fans,Fan Discovery,Template Net Mellanox SNMPv2,rpm
sensor.fan.speed[coolingDeviceReading.{#SNMPINDEX}],['Template Server Dell iDRAC SNMPv2'],{#FAN_DESCR}: Fan speed,3,"MIB: IDRAC-MIB-SMIv2
0700.0012.0001.0006 This attribute defines the reading for a cooling device
of subtype other than coolingDeviceSubTypeIsDiscrete.  When the value
for coolingDeviceSubType is other than coolingDeviceSubTypeIsDiscrete, the
value returned for this attribute is the speed in RPM or the OFF/ON value
of the cooling device.  When the value for coolingDeviceSubType is
coolingDeviceSubTypeIsDiscrete, a value is not returned for this attribute.",Fans,FAN Discovery,Template Server Dell iDRAC SNMPv2,rpm
sensor.fan.status[mySystemFanIsNormal.{#SNMPINDEX}],['Template Net D-Link DES 7200 SNMPv2'],{#SNMPVALUE}: Fan status,3,MIB: MY-SYSTEM-MIB,Fans,FAN Discovery,Template Net D-Link DES 7200 SNMPv2,
sensor.fan.status[swFanStatus.{#SNMPINDEX}],['Template Net D-Link DES_DGS Switch SNMPv2'],#{#SNMPVALUE}: Fan status,3,"MIB: EQUIPMENT-MIB
Indicates the current fan status.
speed-0     : If the fan function is normal and the fan does not spin            due to the temperature not  reaching the threshold, the status of the fan is speed 0.
speed-low   : Fan spin using the lowest speed.
speed-middle: Fan spin using the middle speed.
speed-high  : Fan spin using the highest speed.",Fans,FAN Discovery,Template Net D-Link DES_DGS Switch SNMPv2,
sensor.fan.status[chSysFanTrayOperStatus.{#SNMPINDEX}],['Template Net Dell Force S-Series SNMPv2'],Fan {#SNMPVALUE}: Fan status,3,"MIB: F10-S-SERIES-CHASSIS-MIB
The status of the fan tray {#SNMPVALUE}.",Fans,FAN Discovery,Template Net Dell Force S-Series SNMPv2,
sensor.fan.speed[extremeFanSpeed.{#SNMPINDEX}],['Template Net Extreme EXOS SNMPv2'],Fan {#SNMPVALUE}: Fan speed,3,"MIB: EXTREME-SYSTEM-MIB
The speed (RPM) of a cooling fan in the fantray {#SNMPVALUE}",Fans,FAN Discovery,Template Net Extreme EXOS SNMPv2,rpm
sensor.fan.status[hh3cEntityExtErrorStatus.{#SNMPINDEX}],['Template Net HP Comware HH3C SNMPv2'],{#ENT_NAME}: Fan status,3,"MIB: HH3C-ENTITY-EXT-MIB
Indicate the error state of this entity object.
fanError(41) means that the fan stops working.",Fans,FAN Discovery,Template Net HP Comware HH3C SNMPv2,
sensor.fan.status[hpicfSensorStatus.{#SNMPINDEX}],['Template Net HP Enterprise Switch SNMPv2'],{#ENT_DESCR}: Fan status,3,"MIB: HP-ICF-CHASSIS
Actual status indicated by the sensor: {#ENT_DESCR}",Fans,FAN Discovery,Template Net HP Enterprise Switch SNMPv2,
sensor.fan.status[hwEntityFanState.{#SNMPINDEX}],['Template Net Huawei VRP SNMPv2'],#{#SNMPVALUE}: Fan status,3,MIB: HUAWEI-ENTITY-EXTENT-MIB,Fans,FAN Discovery,Template Net Huawei VRP SNMPv2,
sensor.fan.status[icsChassisFanOperStatus.{#SNMPINDEX}],['Template Net Intel_Qlogic Infiniband SNMPv2'],{#SNMPVALUE}: Fan status,3,"MIB: ICS-CHASSIS-MIB
The operational status of the fan unit.",Fans,FAN Discovery,Template Net Intel_Qlogic Infiniband SNMPv2,
sensor.fan.status[boxServicesFanItemState.{#SNMPINDEX}],['Template Net Netgear Fastpath SNMPv2'],#{#SNMPVALUE}: Fan status,3,"MIB: FASTPATH-BOXSERVICES-PRIVATE-MIB
The status of fan",Fans,FAN Discovery,Template Net Netgear Fastpath SNMPv2,
sensor.fan.status[snChasFan2OperStatus.{#SNMPINDEX}],['Template Net Brocade_Foundry Stackable SNMPv2'],Unit {#FAN_UNIT} Fan {#FAN_INDEX}: Fan status,3,MIB: FOUNDRY-SN-AGENT-MIB,Fans,FAN Discovery,Template Net Brocade_Foundry Stackable SNMPv2,
sensor.fan.status[tmnxChassisFanOperStatus.{#SNMPINDEX}],['Template Net Alcatel Timetra TiMOS SNMPv2'],#{#SNMPINDEX}: Fan status,3,"MIB: TIMETRA-SYSTEM-MIB
Current status of the Fan tray.",Fans,FAN Discovery,Template Net Alcatel Timetra TiMOS SNMPv2,
sensor.fan.status[jnxOperatingState.4.{#SNMPINDEX}],['Template Net Juniper SNMPv2'],{#SNMPVALUE}: Fan status,3,MIB: JUNIPER-MIB,Fans,FAN Discovery,Template Net Juniper SNMPv2,
"vfs.fs.size[{#FSNAME},free]",['Template OS Windows'],Free disk space on {#FSNAME},3,,Filesystems,Mounted filesystem discovery,Template OS Windows,B
"vfs.fs.inode[{#FSNAME},pfree]","['Template OS Linux_MySQL', 'Template OS Mac OS X', 'Template OS Linux noswap', 'Template OS Linux APM', 'Template OS Linux', 'Template OS HP-UX', 'Template OS OpenBSD', 'Template OS Solaris', 'Template OS FreeBSD', 'Template OpenStack OS Linux', 'Template OS AIX']",Free inodes on {#FSNAME} (percentage),0,,Filesystems,Mounted filesystem discovery,Template OS Linux_MySQL,%
"system.stat[disk,bps]",['Template OS AIX'],Amount of data transferred,0,,Filesystems,,Template OS AIX,B
perf_counter[\2\16],['Template OS Windows'],File read bytes per second,0,Full counter name: \System\File Read Bytes/sec,Filesystems,,Template OS Windows,Bps
perf_counter[\2\18],['Template OS Windows'],File write bytes per second,0,Full counter name: \System\File Write Bytes/sec,Filesystems,,Template OS Windows,Bps
perf_counter[\234(_Total)\1402],['Template OS Windows'],Average disk read queue length,0,Full counter name: \PhysicalDisk(_Total)\Avg. Disk Read Queue Length,Filesystems,,Template OS Windows,
perf_counter[\234(_Total)\1404],['Template OS Windows'],Average disk write queue length,0,Full counter name: \PhysicalDisk(_Total)\Avg. Disk Write Queue Length,Filesystems,,Template OS Windows,
"system.stat[disk,tps]",['Template OS AIX'],Number of transfers,0,,Filesystems,,Template OS AIX,
"vmware.vm.vfs.fs.size[{$URL},{HOST.HOST},{#FSNAME},free]",['Template VM VMware Guest'],Free disk space on {#FSNAME},3,,Filesystems,Mounted filesystem discovery,Template VM VMware Guest,B
"jmx[""java.lang:type=GarbageCollector,name=ParNew"",CollectionCount]",['Template App Generic Java JMX'],gc ParNew number of collections per second,0,,Garbage collector,,Template App Generic Java JMX,
"jmx[""java.lang:type=GarbageCollector,name=MarkSweepCompact"",CollectionTime]",['Template App Generic Java JMX'],gc MarkSweepCompact accumulated time spent in collection,0,,Garbage collector,,Template App Generic Java JMX,s
"jmx[""java.lang:type=GarbageCollector,name=MarkSweepCompact"",CollectionCount]",['Template App Generic Java JMX'],gc MarkSweepCompact number of collections per second,0,,Garbage collector,,Template App Generic Java JMX,
"jmx[""java.lang:type=GarbageCollector,name=Copy"",CollectionTime]",['Template App Generic Java JMX'],gc Copy accumulated time spent in collection,0,,Garbage collector,,Template App Generic Java JMX,s
"jmx[""java.lang:type=GarbageCollector,name=ConcurrentMarkSweep"",CollectionCount]",['Template App Generic Java JMX'],gc ConcurrentMarkSweep number of collections per second,0,,Garbage collector,,Template App Generic Java JMX,
"jmx[""java.lang:type=GarbageCollector,name=Copy"",CollectionCount]",['Template App Generic Java JMX'],gc Copy number of collections per second,0,,Garbage collector,,Template App Generic Java JMX,
"jmx[""java.lang:type=GarbageCollector,name=ParNew"",CollectionTime]",['Template App Generic Java JMX'],gc ParNew accumulated time spent in collection,0,,Garbage collector,,Template App Generic Java JMX,s
"jmx[""java.lang:type=GarbageCollector,name=PS Scavenge"",CollectionCount]",['Template App Generic Java JMX'],gc PS Scavenge number of collections per second,0,,Garbage collector,,Template App Generic Java JMX,
"jmx[""java.lang:type=GarbageCollector,name=PS MarkSweep"",CollectionTime]",['Template App Generic Java JMX'],gc PS MarkSweep accumulated time spent in collection,0,,Garbage collector,,Template App Generic Java JMX,s
"jmx[""java.lang:type=GarbageCollector,name=PS MarkSweep"",CollectionCount]",['Template App Generic Java JMX'],gc PS MarkSweep number of collections per second,0,,Garbage collector,,Template App Generic Java JMX,
"jmx[""java.lang:type=GarbageCollector,name=ConcurrentMarkSweep"",CollectionTime]",['Template App Generic Java JMX'],gc ConcurrentMarkSweep accumulated time spent in collection,0,,Garbage collector,,Template App Generic Java JMX,s
"jmx[""java.lang:type=GarbageCollector,name=PS Scavenge"",CollectionTime]",['Template App Generic Java JMX'],gc PS Scavenge accumulated time spent in collection,0,,Garbage collector,,Template App Generic Java JMX,s
system.boottime,"['Template OS Solaris', 'Template OS Linux APM', 'Template OS Linux', 'Template OS FreeBSD', 'Template OpenStack OS Linux', 'Template OS OpenBSD', 'Template OS Linux noswap', 'Template OS Linux_MySQL', 'Template OS Mac OS X']",Host boot time,3,,General,,Template OS Solaris,unixtime
system.localtime,"['Template OS OpenBSD', 'Template OS Solaris', 'Template OpenStack OS Linux', 'Template OS Linux APM', 'Template OS Linux', 'Template OS HP-UX', 'Template OS FreeBSD', 'Template OS AIX', 'Template OS Linux noswap', 'Template OS Mac OS X', 'Template OS Linux_MySQL']",Host local time,3,,General,,Template OS OpenBSD,unixtime
system.hostname,"['Template OS OpenBSD', 'Template OS Solaris', 'Template OS Linux APM', 'Template OS Linux', 'Template OS HP-UX', 'Template OS FreeBSD', 'Template OS AIX', 'Template OS Mac OS X', 'Template OpenStack OS Linux', 'Template OS Linux_MySQL', 'Template OS Linux noswap']",Host name,1,System host name.,General,,Template OS OpenBSD,
system.uname,"['Template OS OpenBSD', 'Template OS Windows', 'Template OS Solaris', 'Template OS Linux APM', 'Template OS Linux', 'Template OS HP-UX', 'Template OS FreeBSD', 'Template OS AIX', 'Template OpenStack OS Linux', 'Template OS Mac OS X', 'Template OS Linux_MySQL', 'Template OS Linux noswap']",System information,1,The information as normally returned by 'uname -a'.,General,,Template OS OpenBSD,
system.uptime,"['Template OS OpenBSD', 'Template OS Windows', 'Template OS Solaris', 'Template OS Mac OS X', 'Template OS Linux', 'Template OS Linux APM', 'Template OS AIX', 'Template OpenStack OS Linux', 'Template OS FreeBSD', 'Template OS Linux_MySQL', 'Template OS Linux noswap']",System uptime,3,,General,,Template OS OpenBSD,uptime
"vmware.vm.hv.name[{$URL},{HOST.HOST}]",['Template VM VMware Guest'],Hypervisor name,1,Hypervisor name of the guest VM.,General,,Template VM VMware Guest,
"vmware.vm.powerstate[{$URL},{HOST.HOST}]",['Template VM VMware Guest'],Power state,3,The current power state of the virtual machine.,General,,Template VM VMware Guest,
"vmware.vm.cluster.name[{$URL},{HOST.HOST}]",['Template VM VMware Guest'],Cluster name,1,Cluster name of the guest VM.,General,,Template VM VMware Guest,
vmware.version[{$URL}],['Template VM VMware'],Version,1,,General,,Template VM VMware,
vmware.fullname[{$URL}],['Template VM VMware'],Full name,1,,General,,Template VM VMware,
"vmware.vm.uptime[{$URL},{HOST.HOST}]",['Template VM VMware Guest'],Uptime,3,System uptime.,General,,Template VM VMware Guest,uptime
"vmware.hv.cluster.name[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],Cluster name,1,Cluster name of the guest VM.,General,,Template VM VMware Hypervisor,
"vmware.hv.datacenter.name[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],Datacenter name,1,Datacenter name of the hypervisor.,General,,Template VM VMware Hypervisor,
"vmware.hv.fullname[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],Full name,1,"The complete product name, including the version information.",General,,Template VM VMware Hypervisor,
"vmware.hv.sensor.health.state[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],Health state rollup,3,"The host health state rollup sensor value: gray - unknown, ok, red - it has a problem, yellow - it might have a problem.",General,,Template VM VMware Hypervisor,
"vmware.hv.status[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],Overall status,3,"The overall alarm status of the host: gray - unknown, ok, red - it has a problem, yellow - it might have a problem.",General,,Template VM VMware Hypervisor,
"vmware.hv.uptime[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],Uptime,3,System uptime.,General,,Template VM VMware Hypervisor,uptime
"vmware.vm.datacenter.name[{$URL},{HOST.HOST}]",['Template VM VMware Guest'],Datacenter name,1,Datacenter name of the guest VM.,General,,Template VM VMware Guest,
"vmware.hv.version[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],Version,1,Dot-separated version string.,General,,Template VM VMware Hypervisor,
snmptrap.fallback,"['Template Module Generic SNMPv1', 'Template Module Generic SNMPv2', 'Stroage_template']",SNMP traps (fallback),2,Item is used to collect all SNMP traps unmatched by other snmptrap items,General,,Template Module Generic SNMPv1,
snmptrap.fallback,"['Template Module Generic SNMPv1', 'Template Module Generic SNMPv2', 'Stroage_template']",Storage_snmptrap,4,,Storage_monitor,,Stroage_template,
system.contact,"['Template Module Generic SNMPv1', 'Template Module Generic SNMPv2']",Device contact details,1,"MIB: SNMPv2-MIB
The textual identification of the contact person for this managed node, together with information on how to contact this person.  If no contact information is known, the value is the zero-length string.",General,,Template Module Generic SNMPv1,
system.descr,"['Template Module Generic SNMPv1', 'Template Module Generic SNMPv2']",Device description,1,"MIB: SNMPv2-MIB
A textual description of the entity.  This value should
include the full name and version identification of the system's hardware type, software operating-system, and
networking software.",General,,Template Module Generic SNMPv1,
system.name,"['Template Module Generic SNMPv1', 'Template Module Generic SNMPv2']",Device name,1,"MIB: SNMPv2-MIB
An administratively-assigned name for this managed node.By convention, this is the node's fully-qualified domain name.  If the name is unknown, the value is the zero-length string.",General,,Template Module Generic SNMPv1,
system.objectid,"['Template Module Generic SNMPv1', 'Template Module Generic SNMPv2']",System object ID,1,"MIB: SNMPv2-MIB
The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example, if vendor`Flintstones, Inc.' was assigned the subtree1.3.6.1.4.1.4242, it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.",General,,Template Module Generic SNMPv1,
system.location,"['Template Module Generic SNMPv2', 'Template Module Generic SNMPv1']",Device location,1,"MIB: SNMPv2-MIB
The physical location of this node (e.g., `telephone closet, 3rd floor').  If the location is unknown, the value is the zero-length string.",General,,Template Module Generic SNMPv2,
"vmware.hv.vm.num[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],Number of guest VMs,3,Number of guest virtual machines.,General,,Template VM VMware Hypervisor,
"proc.num[,glance,,bin/python.*bin/glance-api]",['Template App OpenStack Glance API'],Glance API Server process is running,3,,Glance API,,Template App OpenStack Glance API,
"net.tcp.service[http,{$IP_MANAGEMENT},9292]",['Template App OpenStack Glance API'],Glance API Server is listening on port,3,,Glance API,,Template App OpenStack Glance API,
glance.api.status,['Template App OpenStack Glance API check'],Glance API test succeeded,3,,Glance API check,,Template App OpenStack Glance API check,
"proc.num[,glance,,bin/python.*bin/glance-registry]",['Template App OpenStack Glance Registry'],Glance Registry Server process is running,3,,Glance Registry,,Template App OpenStack Glance Registry,
"net.tcp.service[http,{$IP_MANAGEMENT},9090]",['Template App OpenStack Glance Registry'],Glance Registry Server is listening on port,3,,Glance Registry,,Template App OpenStack Glance Registry,
net.tcp.service[http],['Template App HTTP Service'],HTTP service is running,3,,HTTP service,,Template App HTTP Service,
net.tcp.service[https],['Template App HTTPS Service'],HTTPS service is running,3,,HTTPS service,,Template App HTTPS Service,
"vmware.hv.hw.uuid[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],Bios UUID,1,The hardware BIOS identification.,Hardware,,Template VM VMware Hypervisor,
"vmware.hv.hw.vendor[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],Vendor,1,The hardware vendor identification.,Hardware,,Template VM VMware Hypervisor,
"vmware.hv.hw.model[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],Model,1,The system model identification.,Hardware,,Template VM VMware Hypervisor,
"vmware.hv.hw.memory[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],Total memory,3,The physical memory size.,Hardware,,Template VM VMware Hypervisor,B
"net.tcp.service[http,{$IP_MANAGEMENT},8080]",['Template App OpenStack Horizon'],Horizon HTTP Server is listening on port,3,,Horizon,,Template App OpenStack Horizon,
"net.tcp.service[https,{$IP_MANAGEMENT},443]",['Template App OpenStack Horizon'],Horizon HTTPS Server is listening on port,3,,Horizon,,Template App OpenStack Horizon,
"proc.num[,{$APACHE_USER},,/usr/sbin/{$APACHE_NAME}]",['Template App OpenStack Horizon'],Horizon HTTP Server process is running,3,,Horizon,,Template App OpenStack Horizon,
net.tcp.service[imap],['Template App IMAP Service'],IMAP service is running,3,,IMAP service,,Template App IMAP Service,
"vmware.vm.net.if.in[{$URL},{HOST.HOST},{#IFNAME},bps]",['Template VM VMware Guest'],Number of bytes received on interface {#IFDESC},3,,Interfaces,Network device discovery,Template VM VMware Guest,Bps
system.hw.version,"['Template Net TP-LINK SNMPv2', 'Template Net D-Link DES 7200 SNMPv2', 'Template Net QTech QSW SNMPv2', 'Template Net Extreme EXOS SNMPv2', 'Template Net D-Link DES_DGS Switch SNMPv2']",Hardware version(revision),1,"MIB: TPLINK-SYSINFO-MIB
The hardware version of the product.",Inventory,,Template Net TP-LINK SNMPv2,
system.hw.serialnumber[entPhysicalSerialNum.{#SNMPINDEX}],['Template Module Cisco Inventory SNMPv2'],{#ENT_NAME}: Hardware serial number,1,MIB: ENTITY-MIB,Inventory,Entity Serial Numbers Discovery,Template Module Cisco Inventory SNMPv2,
system.hw.model,"['Template Net Juniper SNMPv2', 'Template Net Alcatel Timetra TiMOS SNMPv2', 'Template Module Cisco Inventory SNMPv2', 'Template Server IBM IMM SNMPv2', 'Template Server IBM IMM SNMPv1', 'Template Net Ubiquiti AirOS SNMPv1', 'Template Server HP iLO SNMPv2', 'Template Server Dell iDRAC SNMPv2', 'Template Net TP-LINK SNMPv2', 'Template Net D-Link DES 7200 SNMPv2', 'Template Net Mikrotik SNMPv2', 'Template Net Netgear Fastpath SNMPv2', 'Template Net QTech QSW SNMPv2', 'Template Net Intel_Qlogic Infiniband SNMPv2', 'Template Net D-Link DES_DGS Switch SNMPv2', 'Template Net Extreme EXOS SNMPv2']",Hardware model name,1,"MIB: JUNIPER-MIB
The name, model, or detailed description of the box,indicating which product the box is about, for example 'M40'.",Inventory,,Template Net Juniper SNMPv2,
system.hw.serialnumber,"['Template Net Brocade_Foundry Nonstackable SNMPv2', 'Template Net Brocade FC SNMPv2', 'Template Net TP-LINK SNMPv2', 'Template Server IBM IMM SNMPv2', 'Template Server IBM IMM SNMPv1', 'Template Server HP iLO SNMPv2', 'Template Server Dell iDRAC SNMPv2', 'Template Module Cisco Inventory SNMPv2', 'Template Net HP Enterprise Switch SNMPv2', 'Template Net Juniper SNMPv2', 'Template Net QTech QSW SNMPv2', 'Template Net Mikrotik SNMPv2', 'Template Net Netgear Fastpath SNMPv2', 'Template Net Extreme EXOS SNMPv2', 'Template Net D-Link DES_DGS Switch SNMPv2']",Hardware serial number,1,MIB: FOUNDRY-SN-AGENT-MIB,Inventory,,Template Net Brocade_Foundry Nonstackable SNMPv2,
system.hw.firmware,"['Template Net Brocade_Foundry Nonstackable SNMPv2', 'Template Net Brocade_Foundry Stackable SNMPv2', 'Template Net Brocade FC SNMPv2', 'Template Server Dell iDRAC SNMPv2', 'Template Net D-Link DES 7200 SNMPv2', 'Template Net Ubiquiti AirOS SNMPv1', 'Template Net HP Enterprise Switch SNMPv2', 'Template Net Intel_Qlogic Infiniband SNMPv2', 'Template Net Mikrotik SNMPv2', 'Template Net QTech QSW SNMPv2', 'Template Net TP-LINK SNMPv2', 'Template Net D-Link DES_DGS Switch SNMPv2', 'Template Net Extreme EXOS SNMPv2']",Firmware version,1,"MIB: FOUNDRY-SN-AGENT-MIB
The version of the running software in the form'major.minor.maintenance[letters]'",Inventory,,Template Net Brocade_Foundry Nonstackable SNMPv2,
system.sw.os,"['Template Net Alcatel Timetra TiMOS SNMPv2', 'Template Module Cisco Inventory SNMPv2', 'Template Server Dell iDRAC SNMPv2', 'Template Net Extreme EXOS SNMPv2', 'Template Net QTech QSW SNMPv2', 'Template Net Juniper SNMPv2', 'Template Net Mikrotik SNMPv2', 'Template Net Netgear Fastpath SNMPv2', 'Template Net D-Link DES 7200 SNMPv2']",Operating system,1,MIB: SNMPv2-MIB,Inventory,,Template Net Alcatel Timetra TiMOS SNMPv2,
